Gene,Control_baseline_blood1,Control_baseline_blood2,Control_baseline_blood3,Control_baseline_blood4,Control_baseline_blood5,Control_baseline_blood6,Control_baseline_blood7,Control_baseline_blood8,Control_baseline_blood9,Control_baseline_blood10,Control_final_blood1,Control_final_blood2,Control_final_blood3,Control_final_blood4,Control_final_blood5,Control_final_blood6,Control_final_blood7,Control_final_blood8,Control_final_blood9,Control_final_blood10
Ccdc134,26923,22258,23120,27421,23058,25894,27827,18920,25509,27087,19316,18496,20104,18222,15042,17338,17106,24036,25086,16473
Ccdc135,0,492,556,0,0,0,216,0,196,92,0,0,0,121,396,0,0,119,0,104
Ccdc136,0,123,0,0,0,0,0,1645,196,92,0,324,94,241,396,874,101,595,0,207
Ccdc137,21593,18815,20230,19919,20287,19900,17580,20682,19230,17658,16073,16765,20104,15809,16625,15007,23244,21537,24426,16680
Ccdc138,5782,9223,6447,8105,6037,7073,6148,8931,5985,6564,11138,11682,10240,12068,16823,12821,7949,10352,5611,7667
Ccdc14,6957,5165,7447,8105,5542,5874,7766,7873,6377,6471,5922,5841,7703,8327,9104,7431,4528,5355,660,4766
Ccdc141,994,1107,1667,2501,1385,1319,1079,2115,491,1387,846,757,939,1327,1979,1020,1509,1666,660,932
Ccdc142,22948,20905,19118,21212,22860,20379,18228,16687,22860,26440,20021,24121,24144,16291,13458,23603,20930,23798,27067,19167
Ccdc144b,0,0,0,0,0,0,0,0,0,92,141,324,0,0,0,0,0,119,0,0
Ccdc146,9486,9346,8781,9226,9302,11748,9383,11281,10498,9337,7050,8545,9394,6999,10886,7722,8150,8567,8582,8081
Ccdc147,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,101,357,0,0
Ccdc148,542,369,333,776,0,0,431,1058,196,277,0,0,188,603,594,291,402,238,660,1036
Ccdc15,25207,25701,20452,24575,19297,24935,24807,26323,27079,23667,33556,27582,29310,31014,29490,30742,19823,22013,19145,18856
Ccdc150,2259,2705,3668,3363,3365,2278,1834,2938,3140,1664,6345,3786,1879,3138,3365,1311,2214,4522,4621,2797
Ccdc151,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,104
Ccdc152,5601,3689,6558,5950,4255,4675,2373,5171,5004,4900,4794,4327,3946,7844,6927,6265,3622,7734,6602,4351
Ccdc153,0,0,0,0,99,0,0,0,0,0,0,0,0,362,0,291,0,0,0,207
Ccdc154,632,861,333,431,396,480,1186,588,785,1017,141,324,752,1086,792,291,402,1309,1650,518
Ccdc155,90,0,222,690,396,0,0,353,98,0,141,0,94,483,0,1020,402,595,330,0
Ccdc157,9848,8608,10671,10951,10688,10789,9923,7403,10890,10262,6204,9194,10522,9051,8511,8596,8855,11899,10233,9324
Ccdc158,181,492,0,431,594,599,755,823,294,647,423,541,1127,362,990,583,302,952,330,414
Ccdc159,0,123,0,0,198,0,0,353,0,462,0,0,0,0,0,0,201,238,0,207
Ccdc160,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0
Ccdc162,813,1476,889,690,1781,839,1079,1175,785,832,3102,2163,1221,2293,1979,1748,1207,2023,330,1968
Ccdc163,5963,5411,5002,4139,7224,4675,4853,7286,6966,4807,6627,7572,6764,6758,5938,8159,5836,6188,4951,4248
Ccdc17,7408,6272,7225,6381,6927,8152,6687,7403,7064,8320,7050,8653,8831,9171,5542,6411,6440,4522,9572,7460
Ccdc18,162081,227129,173734,187891,175259,214341,163077,220104,170225,162616,486847,307620,326737,358770,389702,436659,186052,289744,144906,165249
Ccdc19,2259,1230,3112,2069,3167,2997,3020,2233,2747,1757,3102,2704,2443,2051,3760,1020,1711,2975,3961,3523
Ccdc21,21954,22258,22564,22937,17417,21698,23512,22445,20505,21633,25238,20876,23674,25704,20386,24914,21936,24631,14854,21653
Ccdc22,12829,12420,11560,13107,16328,13906,11756,15159,16385,13682,12548,11790,11461,13033,12667,12676,14792,14874,16834,15955
Ccdc23,21502,29144,20786,27593,25037,38001,24375,23973,21290,28566,45964,48458,59373,39944,44730,60611,27772,34151,25086,29113
Ccdc24,90,0,111,86,0,120,0,118,294,92,0,541,94,1086,198,583,201,0,0,207
Ccdc25,26833,24594,21119,23454,19000,22417,25885,25266,22271,26440,33133,25851,30438,21239,22761,29577,22238,24869,22116,24243
Ccdc27,181,0,0,0,99,0,216,0,0,92,141,0,0,0,0,0,0,0,0,0
Ccdc28a,13100,17585,15339,12158,12172,9950,13374,12221,11872,13312,11702,11682,13152,14602,13656,9908,15597,12851,7592,13779
Ccdc28b,12377,10822,12005,11555,9995,12227,12511,12574,14030,13867,10151,9951,12588,10619,13458,11365,14188,7139,7922,14608
Ccdc3,0,0,0,0,0,0,0,118,98,0,0,0,0,0,0,0,0,119,0,0
Ccdc30,1536,2582,2445,2156,1682,1439,1726,2233,2158,1294,2679,2055,1597,1931,1979,1603,1409,2380,330,1450
Ccdc32,29724,31235,27566,26731,25829,25894,30739,28791,25509,26995,45400,33855,31941,35961,30479,37882,29684,33199,30368,33361
Ccdc33,0,0,0,0,0,0,0,353,0,0,0,541,0,0,198,146,0,119,0,0
Ccdc34,4608,7870,4891,6812,7719,10070,4853,3290,5789,5454,8319,7896,10991,6999,9302,10636,5434,8210,4951,5284
Ccdc36,181,123,0,172,99,120,0,0,196,647,705,216,0,121,396,0,201,0,0,104
Ccdc37,2078,1845,3335,2673,2870,1319,4206,2938,3532,2958,564,4110,3382,2776,2177,1603,2616,4403,4621,1761
Ccdc38,4246,2828,2334,3277,2177,2517,1618,3525,2257,2958,987,2055,1691,1931,2375,1166,1207,1190,2311,1243
Ccdc39,542,0,333,604,396,719,539,705,687,740,423,216,658,0,198,728,604,1547,330,207
Ccdc40,1897,861,667,862,297,839,539,235,589,1572,2256,433,470,1207,396,437,906,595,330,414
Ccdc41,73181,73660,71250,81399,66304,87151,79489,79087,67501,79967,119280,121901,111793,104505,118355,119910,75065,96026,61065,62784
Ccdc42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc42b,0,0,222,0,0,120,431,118,392,185,0,0,0,362,396,0,101,0,1650,414
Ccdc43,20689,22996,23120,23282,15834,23016,24699,19625,22075,20893,19175,23039,21983,29324,20584,21709,20728,19277,15184,20514
Ccdc45,36500,43409,36014,41045,39683,44115,41309,42775,44935,46779,50052,40021,49414,46098,46511,52743,38941,43313,29377,39059
Ccdc46,452,861,0,86,0,120,0,235,491,0,705,324,752,1207,0,146,201,1190,0,311
Ccdc47,73181,74152,73028,75363,64918,74804,70322,77794,69169,61201,71906,78960,76282,61786,60959,65856,63795,71038,65356,67239
Ccdc48,90,123,0,0,0,240,108,470,196,185,0,0,188,362,0,146,0,238,0,104
Ccdc50,396620,392281,374811,347931,302423,335417,351068,320931,319944,389945,313568,389175,369669,303138,371889,327822,291606,286175,312919,271443
Ccdc51,8222,10945,7225,6381,8807,8511,8628,9049,11577,12203,8460,7896,8549,11344,10886,9325,10767,7615,6932,9946
Ccdc53,30537,32588,28011,31991,28402,28531,35700,29496,36400,38273,23969,40778,35417,30772,35625,35696,33206,25940,25416,29424
Ccdc54,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc55,18250,19307,18007,15952,13854,16423,18551,17862,13343,17103,17906,21200,22453,13998,18209,13404,15898,12851,16834,12329
Ccdc56,26923,28284,28678,19919,27313,27092,22326,23738,29336,29491,36235,24121,27526,30169,25136,39339,34514,34151,28057,35951
Ccdc57,4517,5042,5002,1983,3563,5394,4422,5523,5592,4807,10151,8978,8173,10137,6927,11219,4528,5712,2971,5077
Ccdc58,10571,15371,12227,12244,9995,9470,14453,10341,15011,12480,8319,9302,10897,11223,10886,9470,12679,8210,6602,8496
Ccdc59,24032,23488,23676,24489,19396,18341,20924,20917,27079,23297,13676,29421,23956,19067,22959,22583,20829,24750,24426,18856
Ccdc6,72548,83867,81031,72863,87283,86192,91569,83435,67207,73958,119421,107083,104090,125262,108657,129672,95592,126726,81530,80293
Ccdc60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc61,9035,9838,7003,7847,9005,8871,9168,7286,9909,8320,8178,7896,7140,9654,8313,9033,9056,10709,9242,8910
Ccdc62,7137,8977,10448,11641,6729,8391,7442,9284,7849,7673,14663,6382,6576,7603,10094,9762,6943,8091,8252,7252
Ccdc63,632,615,333,517,990,1439,1079,705,687,462,705,865,939,603,1583,1020,1610,595,1980,829
Ccdc64,15811,10330,14228,17159,19594,15224,13805,9754,17072,11186,13394,7896,9300,9413,5542,13259,12880,14517,19145,12847
Ccdc64b,1536,615,556,1466,594,719,647,705,491,555,282,324,752,845,198,1457,402,476,330,414
Ccdc65,0,0,0,0,0,0,0,118,0,92,0,0,94,0,0,0,0,119,0,0
Ccdc66,34422,28529,35458,32853,25433,35484,36671,27498,34437,35777,28058,35370,33914,28480,32854,27391,22137,28915,25416,21239
Ccdc67,723,246,333,259,99,0,0,588,589,277,141,108,282,603,198,0,201,357,330,0
Ccdc68,452,492,333,0,1089,240,1294,235,491,185,987,0,564,1569,198,437,805,476,0,1554
Ccdc69,34422,30989,35458,31301,36516,32487,33112,28321,36203,34853,30313,28772,36732,32220,31469,32782,37532,34389,32678,33361
Ccdc7,0,0,111,0,0,120,0,0,0,0,0,0,0,0,198,0,0,119,0,0
Ccdc70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc71,39843,36523,41683,41821,43840,34045,38073,30906,45132,39937,34261,44456,39175,41513,33052,29868,45180,43075,48192,35536
Ccdc72,183222,232048,195520,196945,202275,251503,218946,233383,212021,257930,381103,357591,370045,379767,404546,453560,261620,327941,170323,197263
Ccdc73,10299,7255,8781,6640,6037,6473,8089,7638,7653,9337,3666,4867,6576,3620,8511,6411,7044,7258,4621,4248
Ccdc74a,2891,1107,2779,2501,1781,3716,1294,2115,2060,1387,2115,1298,2349,1207,1979,3351,1711,1190,2641,2279
Ccdc75,31802,23857,27566,27593,22959,25534,28797,28791,28845,27827,20444,29853,25459,22325,24938,24040,30791,24988,23106,20824
Ccdc76,15359,16355,13672,10434,10985,15224,8952,13162,14030,11186,11843,11465,13810,11585,15636,16464,10062,11542,10563,11293
Ccdc77,21231,19061,18452,24058,19000,29250,20169,18567,20996,20708,35389,29421,30062,26066,32657,41378,18112,21894,14854,19063
Ccdc78,3433,3320,1223,1983,1286,2398,3451,2585,2453,1757,423,3245,2349,2172,3365,3642,2415,2618,1980,2176
Ccdc79,1626,2336,556,1983,1583,1079,1294,353,883,1294,564,1082,1973,2172,2573,1020,704,1190,330,622
Ccdc8,452,0,111,172,396,120,324,1293,785,647,987,541,564,603,0,291,201,714,0,414
Ccdc80,90,246,445,517,297,360,0,470,589,277,423,108,470,845,1385,874,604,1309,660,622
Ccdc81,0,246,0,0,0,0,0,118,0,0,0,0,94,0,0,0,101,0,0,0
Ccdc82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc83,90,123,111,0,99,0,0,0,98,185,0,0,94,121,0,0,0,119,0,207
Ccdc84,12829,11559,13783,9830,11183,12108,11541,8696,14717,10077,7332,9086,9770,11947,7719,10927,10264,9162,11223,9946
Ccdc85a,0,123,0,0,0,0,0,7051,0,0,0,0,0,121,0,0,0,3570,0,0
Ccdc85b,7950,10945,9448,7674,9005,6473,8197,8461,10302,6841,5922,4867,6294,9413,4750,6556,11169,8686,10563,11293
Ccdc85c,271,738,333,345,891,480,647,1175,785,462,0,0,188,603,792,291,402,238,0,725
Ccdc86,9938,6395,8781,10434,10490,8871,7011,8226,9124,6934,5640,5841,4791,7603,4948,7285,8553,5593,10893,9635
Ccdc87,181,615,111,604,891,480,431,353,785,555,282,0,564,362,792,146,503,357,2311,414
Ccdc88a,165605,183474,182181,182804,147451,184132,153909,217871,177681,163171,228126,233527,202261,205270,271346,220005,172971,174561,167682,165042
Ccdc88b,48516,53493,56133,45787,62246,63535,54790,53234,73977,65361,46246,36776,39362,40909,39980,43710,59066,54141,100015,84023
Ccdc88c,203641,161093,199966,184097,214546,198757,191119,162052,211628,181290,118011,121252,125697,131899,117366,131566,170657,155641,186497,165871
Ccdc89,181,0,111,0,0,0,0,353,196,0,0,0,188,483,0,0,0,0,0,0
Ccdc9,22406,22135,22453,20781,25730,21098,21571,18802,25804,17195,19598,20227,16722,19429,14844,14861,17005,19753,26077,23104
Ccdc90a,64598,75997,72028,61308,73330,62216,67086,78264,64067,55561,114627,64790,67546,70475,74615,70810,65506,69848,67007,88582
Ccdc90b,13733,16724,11560,13797,12370,17382,11864,15277,17856,18490,17906,23147,26774,20515,28698,25643,18817,21537,11223,15023
Ccdc91,19515,24717,16784,23282,19099,18221,19845,22445,17562,23574,24815,18821,20574,21842,17615,21272,15999,20229,15184,19270
Ccdc92,32615,46975,46796,35957,68283,37522,36131,56642,31396,19876,126893,43482,41335,62752,45917,59882,56349,59377,79550,100600
Ccdc93,72729,62347,61246,64671,66897,64254,80136,64045,64460,72202,48078,59707,49039,45374,52053,49975,56349,58544,51163,55843
Ccdc94,13191,11805,11004,11210,12073,9111,11864,9401,12460,11833,8037,8653,11743,7965,10886,7868,11672,8686,13863,13054
Ccdc96,2620,2459,3223,4829,3760,3836,3559,3525,2943,3328,2820,1731,2818,3620,2969,3060,2616,1666,4621,2176
Ccdc97,20238,19307,22564,15262,30480,21458,31062,20447,24038,22557,20444,22823,20762,20032,21177,20544,21835,22727,41921,29320
Ccdc99,5150,7624,6669,11210,7224,11388,8952,6111,7162,9245,10715,11249,13152,9895,15042,11365,7949,9162,4621,7978
Cchcr1,2078,1230,2112,2156,4255,6473,2373,2233,3140,2681,2397,5516,6294,2896,4750,6119,2012,1428,2311,3626
Ccin,542,492,445,517,99,839,108,705,687,462,987,541,94,362,396,0,503,952,660,829
Cck,0,0,0,0,0,0,0,4231,0,0,0,0,0,0,0,0,0,1785,0,0
Cckar,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0
Cckbr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0
Ccl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl11,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0
Ccl12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0
Ccl17,90,738,333,431,0,360,431,588,98,92,0,108,188,603,0,291,101,357,0,104
Ccl19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl2,181,492,111,172,198,240,324,1058,491,462,141,433,1879,241,1583,146,101,357,330,725
Ccl20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl21a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl21b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl21c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl22,181,123,778,86,0,120,108,705,98,185,987,108,1127,241,396,1311,302,357,0,414
Ccl24,0,0,0,0,0,120,0,118,0,0,0,0,0,241,0,0,0,119,0,0
Ccl25,1807,1722,1778,1725,1484,2038,2804,1645,1079,2126,3243,3029,2818,2655,2969,2477,1107,1547,2641,1554
Ccl26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl27a,723,492,445,690,792,480,216,1880,1275,1017,987,324,658,1569,792,291,906,357,660,829
Ccl27b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl3,5421,4058,3668,4398,7521,3476,5608,7756,7260,8967,6909,8220,6764,5913,5542,7868,5937,9043,6932,8081
Ccl4,2710,2336,2223,1725,3266,2278,3128,4231,2845,4253,2679,7572,3852,3379,4354,3205,3321,6902,3961,4455
Ccl5,33247,35047,33902,48460,42949,29490,42171,54291,39441,62680,30313,37641,32411,33427,32063,60319,50010,43432,62716,66721
Ccl6,471156,569483,417717,449421,469271,495813,445873,517532,660688,679492,728932,680679,604999,618585,438390,504555,751453,600550,540346,709275
Ccl7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl8,0,0,222,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0
Ccl9,140579,157896,135163,134775,158733,146970,142045,169925,166104,177685,226293,263597,236645,205149,208606,238946,234854,201810,195079,246060
Ccm2,195871,190115,183182,188150,192775,163992,187237,174743,192006,185820,161578,175551,157544,169308,152002,158083,202454,165874,181546,200578
Ccna1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
Ccna2,29182,40950,39571,43459,41563,83674,36347,52999,32671,42064,86146,72578,85959,74216,116574,102135,45582,73537,48192,41131
Ccnb1,6776,8239,7003,9571,7719,13306,6040,7403,5985,6656,16919,14602,19634,14843,16031,18941,9660,10947,12213,8806
Ccnb1ip1,4427,4058,4557,2501,2276,2637,3344,3878,3336,3790,5499,6706,4509,5672,2375,3497,3220,3570,3961,3523
Ccnb2,18702,24471,21342,19056,20386,33566,23836,28438,18249,17935,50616,35802,42087,47184,37407,56823,25357,37006,16834,24347
Ccnb3,0,246,222,259,297,240,1079,353,0,370,564,433,376,241,198,291,402,714,330,622
Ccnc,64507,57674,62913,58721,49480,52147,58565,58757,49547,65638,55974,72037,62567,57804,77584,68770,51720,53070,47202,53045
Ccnd1,4879,5411,4891,6726,6235,6953,5716,7051,5298,5547,5640,7896,4791,3862,5146,7431,3824,6545,5611,7460
Ccnd2,96490,91368,100150,95455,115586,100697,110444,132791,96248,107609,79379,80150,72055,68423,74813,86545,74360,101143,124771,115001
Ccnd3,104440,131334,132829,110717,176645,133184,112493,141839,133727,102432,246314,128716,124382,166654,154574,155898,158683,159449,199700,267714
Ccndbp1,958665,1339533,1272602,1236426,1559222,2183328,1585794,2015717,1145461,1254888,3017946,2231431,2212003,2946064,2968186,3282884,1909825,2192657,1486363,1544119
Ccne1,28098,22750,20008,31128,24740,31048,24267,20330,19917,23112,20585,30719,25271,24135,24146,30160,22540,21775,17164,18545
Ccne2,67850,103665,78141,85883,82137,99498,76361,88018,76626,75715,188084,127418,144955,161706,147647,187806,88146,116017,58425,68068
Ccnf,10480,14511,9115,15694,16427,29969,12835,17275,10989,11001,25802,27582,35135,26307,28500,36716,18917,18682,11223,14194
Ccng1,181054,199215,189740,189530,161504,170586,176667,193546,171893,223539,222486,191235,217292,181979,201085,208204,160796,182652,165371,189182
Ccng2,124678,119283,125604,135033,121425,120717,111954,132321,115576,120275,135776,131961,126261,122848,121720,123698,118534,116969,130713,131785
Ccnh,35325,30251,27566,33715,22563,28411,29337,27028,24234,32542,21854,24337,33162,27393,29886,31034,24552,23441,21125,25279
Ccni,375299,404332,407935,443040,424541,526622,406937,479222,389702,439590,902353,703069,778983,786204,1056688,977056,605248,748219,591839,533562
Ccnj,42914,37261,42572,37164,41069,34045,38181,31259,31200,36240,27635,32666,30438,31617,23552,25643,30690,25345,30698,31910
Ccnjl,0,246,556,172,396,0,108,705,294,0,0,216,0,241,0,437,0,357,330,0
Ccnk,29453,24103,27122,22333,24641,26972,32033,26558,26000,23112,25238,19794,29686,24256,26521,26226,25558,20943,27067,22897
Ccnl1,155305,175358,155949,151934,131321,147689,143987,173568,155214,170474,144094,162571,158953,128399,151012,158229,136244,136840,117509,126501
Ccnl2,230293,229220,237536,232730,202374,226928,235448,221044,256858,255803,201901,204214,226499,237490,214742,209223,216138,239768,209933,195605
Ccno,542,369,889,776,396,959,216,1175,1374,924,846,1190,658,724,792,437,704,1666,660,1450
Ccnt1,41650,35785,36236,45960,43938,39440,44113,41247,34928,41786,38914,34396,29592,43081,33448,33219,33608,30224,31028,31910
Ccnt2,154402,158388,147390,153572,136566,154402,153694,154766,147070,155775,184982,165816,146928,194892,169220,180666,142885,150643,118500,106402
Ccny,158377,152977,148724,155124,144680,135342,135250,161699,134806,146530,177510,154459,146834,149638,154772,165077,140570,156474,157119,153542
Ccnyl1,11384,11190,10004,10434,7917,12587,10786,11399,10302,11001,16919,13737,9676,16653,10490,12676,8654,12732,8582,7978
Ccpg1,126937,138835,149836,147192,149529,142055,153262,164285,146874,133680,120408,144616,121845,117297,137158,105194,138659,146836,146227,159033
Ccr1,258661,352315,311676,261616,235922,335897,284845,407421,376064,467139,283959,417298,420211,355753,575152,282218,396656,414566,324471,431512
Ccr10,1265,984,667,776,1188,480,755,823,589,1294,423,216,94,362,198,728,1308,595,660,1140
Ccr1l1,813,2336,1556,1466,1286,1439,1618,1880,785,740,1692,1190,845,241,396,437,1207,357,1320,2694
Ccr2,676152,808172,680818,646453,531517,1078777,559121,774887,725639,874834,919272,1168284,1110605,829768,1459848,897650,916978,741674,771073,1002994
Ccr3,70560,69479,64914,68379,64324,75643,46162,49473,67697,61108,96157,81664,43684,57804,37011,38464,58764,58187,63706,75217
Ccr4,3614,3935,3557,1811,3266,2398,3344,2350,2453,3328,2679,2596,1691,1931,3167,1457,2314,2856,2971,2487
Ccr5,53937,60625,60023,52858,56605,60418,59428,55702,64362,69798,40183,55921,50260,52373,63928,52160,54035,56164,56114,53563
Ccr6,65953,49681,62913,55703,61257,56103,62880,42070,52294,56301,46810,55921,56648,41754,39188,50849,44878,45931,52813,39473
Ccr7,290192,267833,326459,271360,286194,225729,293042,273573,301793,256081,276063,312487,282959,284916,234732,303053,333364,303309,323151,380746
Ccr8,90,246,0,0,99,0,0,118,98,185,0,541,282,483,198,146,101,238,0,0
Ccr9,36771,27792,30901,33025,31667,22297,29013,29378,31396,35500,27353,26717,28277,26066,27907,26080,24552,33556,25416,25383
Ccrl1,1175,123,889,690,1089,1558,755,823,1472,832,0,324,282,965,990,146,906,714,2971,932
Ccrl2,3885,6518,4557,4398,5146,10429,6040,8461,5298,7118,7755,6598,10522,7241,7917,5974,5836,5355,5941,8703
Ccrn4l,20509,18077,19118,16987,16526,23016,19414,19977,19721,20893,16073,21525,19352,20394,26323,16610,17609,22489,13863,16888
Ccs,19786,17585,16562,14831,15537,18461,17688,16922,22075,17750,16214,15684,16910,15809,19792,21126,15999,19396,19145,19892
Cct2,194606,170070,192074,189702,181988,159797,189070,178739,181900,184618,177792,196751,175299,171119,183669,166534,177600,185508,179895,206380
Cct3,84745,75505,81809,78813,85007,83435,89412,83082,78686,98087,74726,81772,76001,85318,70261,95724,85731,100548,98365,83609
Cct4,179789,179416,180069,178751,161207,162314,186050,170043,176896,196637,178215,211029,202825,179445,182283,204124,199737,199906,173954,188871
Cct5,269955,306077,268103,256874,226719,243111,260578,290730,272556,309885,237714,289232,291320,261143,256898,287901,281745,254285,227757,278281
Cct6a,89533,80547,92147,97352,82434,81996,96207,91073,80746,92355,75149,82313,87462,77233,83324,76638,81203,88292,90773,92001
Cct6b,1175,1353,889,1725,2474,360,2157,1410,687,1387,2538,1622,2536,1448,792,2331,805,1071,330,2279
Cct7,128834,138835,131940,128739,143493,154522,145065,161934,131863,144958,183854,180094,178963,181979,226419,225396,166833,175274,168342,164835
Cct8,99833,91614,93147,102267,93320,92665,101060,112343,85456,96423,92209,104811,87838,83749,97178,92373,94384,102690,102656,93348
Cct8l1,90,0,222,0,594,240,324,0,589,92,0,0,0,0,396,0,101,476,1320,0
Ccz1,70199,66159,63358,67258,64225,70128,68057,54409,65343,76177,66689,69658,81074,69509,85105,83777,71442,62828,61725,69000
Cd101,43999,54600,58800,41821,56407,66532,50476,79087,83395,82279,52449,49539,58527,49115,20781,30888,63795,61281,63376,83609
Cd109,181,123,0,345,0,0,324,1293,0,0,564,0,188,0,198,0,0,357,0,414
Cd14,7499,7132,7892,5001,5344,10070,6256,8579,8438,9337,7896,12763,8361,11102,22959,7285,9660,9281,10563,18027
Cd151,215657,349732,264102,200739,315684,236758,232859,319168,225756,177130,754169,283823,300620,485238,366941,429520,311026,338769,288162,501445
Cd160,10751,8854,11449,12676,7917,12227,10570,13984,12264,10909,6627,8978,7234,9654,9896,10927,11370,12851,12213,8392
Cd163,5240,5042,5780,7071,4651,6473,6040,6463,6377,5639,6768,6274,3852,6396,4948,3497,5132,7972,5281,6423
Cd163l1,813,1599,4446,949,2573,2398,863,2350,2551,1294,0,1082,1503,1569,1979,2040,1409,833,2311,932
Cd164,390928,388714,404378,359227,338148,324868,308358,326336,312978,337989,519135,385390,421714,405351,420181,421944,354294,463591,425147,374841
Cd164l2,90,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,119,0,0
Cd177,19515,24225,27233,19315,26027,37761,30199,37604,32671,27734,32146,27257,23486,21842,23750,21855,35017,31652,36309,53563
Cd180,87275,102313,98927,103129,98763,92785,123278,85668,86927,106223,73739,100377,88683,81094,75605,93247,81605,75798,110578,65271
Cd19,449744,425237,414827,398633,398514,356396,432931,308592,435520,456045,330487,420651,402362,367820,329139,351571,372205,374228,457165,377016
Cd1d1,21954,22012,20230,22592,18704,18101,19630,21505,21781,20986,24533,19253,19446,18584,14250,16318,19722,16659,14524,19892
Cd1d2,1175,615,778,862,396,839,216,470,1177,1017,1128,2704,752,483,0,583,704,476,990,829
Cd2,263721,243730,243316,260840,220781,173942,238791,198246,246556,260888,203593,252023,224808,235198,189012,202521,222478,221800,214224,223164
Cd200,30808,23611,28678,31387,28006,26972,29229,18802,24332,28566,16073,25310,27150,22084,19000,23457,26363,26535,27397,17198
Cd200r1,15991,21151,19007,16556,19594,23376,17580,27381,21879,20339,22982,23147,26116,22928,43938,24186,22137,19634,19805,21135
Cd200r2,0,246,333,86,99,0,431,118,294,277,0,0,0,241,0,437,201,0,0,207
Cd200r3,16804,19798,12672,15176,19594,14985,15208,24090,20702,27180,20021,16225,20480,20515,19990,34385,24552,20467,11223,20617
Cd200r4,6144,8977,5780,5346,7422,5394,5932,7403,7162,7673,6627,6165,7516,7603,9698,10053,7647,8567,7262,9635
Cd207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd209a,21231,27915,22231,19056,21870,17982,18767,29849,25804,20246,31582,37533,23862,25825,17417,23895,31193,33318,26407,27973
Cd209b,1807,2828,333,604,1286,120,431,1410,2257,1202,1269,757,1785,1207,594,1748,906,2023,1650,1450
Cd209c,7860,6272,8670,9916,7125,7792,6579,5171,7751,6471,7473,7139,2818,6154,8511,5099,5434,5950,3961,4248
Cd209d,6776,6640,6113,5087,3760,5874,8089,6111,6868,9615,9728,14819,7422,8327,6729,9179,8955,6307,6932,9739
Cd209e,1536,1476,2445,2156,2177,1319,2373,2233,2453,2034,1974,4976,3100,1931,1979,3205,2214,2023,2641,2590
Cd209f,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0
Cd22,304106,242624,265880,297746,299356,275119,317310,212113,266375,257560,177087,213300,204140,224095,180898,195236,227207,212162,283211,228448
Cd226,1221482,1735995,1297723,1123812,1290742,1041375,1072512,1437078,1006632,909965,3860518,1654158,1879254,2290793,2121688,2059015,1195704,1731921,1032829,1821882
Cd244,52672,38982,59356,57687,51064,68450,55869,68511,48467,44283,30877,38182,30250,37048,69667,34239,47293,34151,40600,50248
Cd247,169670,164045,179291,175561,174863,142894,166313,167575,179840,172323,132956,160949,141198,150724,138147,155606,163915,162899,149528,167735
Cd248,0,0,0,259,0,360,0,118,0,0,0,0,0,0,0,291,0,119,0,0
Cd24a,2875452,3880749,3551369,3375919,3249665,5023584,3821847,4910909,2993504,4228659,9722144,8148781,8893763,9196598,12728544,11901111,5532557,7786209,4147821,3863613
Cd27,65862,61732,61246,64585,66403,61137,63635,58169,69660,67210,48360,66088,63600,59614,54823,58717,73757,67111,66017,67136
